Name,Type,Address,Website,latitude,longitude
Appalachian State University,Public University ,"287 Rivers St., Boone, NC 28608",https://www.appstate.edu,36.2115797,-81.67832605
Fayetteville State University,Public University ,"1200 Murchison Rd, Fayetteville, NC 28301",https://www.uncfsu.edu,35.07156856,-78.89449471
North Carolina Agricultural and Technical State University,Public University ,"1601 E Market St, Greensboro, NC 27411",https://www.ncat.edu,36.07195785,-79.7737259
North Carolina Central University,Public University ,"1801 Fayetteville St, Durham, NC 27707",https://www.nccu.edu,35.97634251,-78.90090018
University of North Carolina at Chapel Hill,Public University ,"134 E. Franklin Street, Chapel Hill, NC 27514",https://www.unc.edu,35.91352834,-79.05462286
University of North Carolina Charlotte,Public University ,"9201 University City Blvd, Charlotte, NC 28223",https://www.charlotte.edu,35.29993216,-80.73461749
University of North Carolina at Greensboro,Public University ,"1400 Spring Garden St, Greensboro, NC 27412",https://www.uncg.edu,36.06541469,-79.81274783
University of North Carolina at Pembroke,Public University ,"1 University Drive, Pembroke, NC 28372",https://www.uncp.edu,34.69411447,-79.19816819
University of North Carolina Wilmington,Public University ,"601 College Rd, Wilmington, NC 28403",https://uncw.edu,34.22708599,-77.87921323
University of North Carolina School of the Arts,Public University ,"1533 S Main St, Winston-Salem, NC 27127",https://www.uncsa.edu,36.07689324,-80.24013697
Western Carolina University,Public University ,"1 University Dr, Cullowhee, NC 28723",https://www.wcu.edu,35.30772534,-83.18594303
Winston-Salem State University,Public University ,"601 S Martin Luther King Jr Dr, Winston-Salem, NC 27110",https://www.wssu.edu,36.08848124,-80.22604428
Alamance Community College,Community College,"1247 Jimmie Kerr Rd, Graham, NC 27253",https://www.alamancecc.edu,36.06344611,-79.35795086
Asheville-Buncombe Technical Community Collage,Community College,"340 Victoria Rd, Asheville, NC 28801",https://abtech.edu,35.56589666,-82.55654726
Beaufort County Community College,Community College,"5337 US-264, Washington, NC 27889",https://www.beaufortccc.edu,35.60201477,-77.12548761
Balden Community College,Community College,"7418 NC Hwy 41W, Dublin, NC 28332",https://bladencc.edu,34.64432558,-78.72961091
Blue Ridge Community College,Community College,"180 W Campus Dr, Flat Rock, NC 28731",https://www.blueridge.edu,35.30773106,-82.42578908
Brunswich Community College,Community College,"50 College Rd NE, Bolivia, NC 28422",https://brunswickcc.edu,34.03817448,-78.22977081
Caldwell Community College and Technical Institute,Community College,"2855 Hickory Blvd, Hudson, NC 28638",https://cccti.edu,35.85510954,-81.48320673
Cape Fear Community College,Community College,"411 N Front St, Wilmington, NC 28401",https://cfcc.edu,34.24003164,-77.94935663
Carteret Community College,Community College,"3505 Arendell St, Morehead City, NC 28557",https://carteret.edu,34.72439492,-76.7538177
Catawba Valley Community College,Community College,"2550 US Hwy 70 SE, Hickory, NC 28602",https://www.cvcc.edu,35.72211092,-81.38251876
Central Carolina Community College,Community College,"1105 Kelly Dr, Sanford, NC 27330",https://www.cccc.edu,35.47036292,-79.1439
Central Piedmont Community College,Community College,"1201 Elizabeth Ave, Charlotte, NC 28204",https://www.cpcc.edu,35.21746174,-80.83115658
Cleveland Community College,Community College,"137 S Post Rd, Shelby, NC 28152",https://clevelandcc.edu,35.28124643,-81.49270697
Coastal Carolina Community College,Community College,"444 Western Blvd, Jacksonville, NC 28546",https://www.coastalcarolina.edu,34.77352637,-77.38821085
College of the Albermale,Community College,"1208 N Road St, Elizabeth City, NC 27909",https://www.albemarle.edu,36.32704395,-76.22387734
Craven Community College,Community College,"800 College Ct, New Bern, NC 28562",https://cravencc.edu,35.11044171,-77.10129007
Durham Technical Community College,Community College,"1637 E Lawson St, Durham, NC 27703",https://www.durhamtech.edu,35.97437982,-78.88007204
Edgecombe Community College Tarboro Campus,Community College,"2009 W. Wilson St. Tarboro, NC 27886",https://edgecombe.edu,35.88093695,-77.57322008
Edgecombe Community College Rocky Mount Campus,Community College,"225 Tarboro St. Rocky Mount, NC 27801",https://edgecombe.edu,35.94173974,-77.79385726
Fayetteville Technical Community College,Community College,"2201 Hull Rd, Fayetteville, NC 28303",https://www.faytechcc.edu,35.0665439,-78.92443831
Forsyth Technical Community College,Community College,"2100 Silas Creek Pkwy, Winston-Salem, NC 27103",https://www.forsythtech.edu,36.06979974,-80.27077326
Guildford Technical Community College,Community College,"601 E Main St, Jamestown, NC 27282",https://www.gtcc.edu,35.99675283,-79.92446568
Halifax Community College,Community College,"100 College Dr, Weldon, NC 27890",https://halifaxcc.edu,36.4308594,-77.61969941
Haywood Community College,Community College,"185 Freedlander Dr, Clyde, NC 28721",https://www.haywood.edu,35.52539171,-82.92830946
